1 -12.53918
4 -11.912974
8 -11.286768
13 -10.660562
34 -10.034356
67 -9.40815
120 -8.781944
215 -8.155738
329 -7.529532
539 -6.903326
736 -6.27712
917 -5.650914
1220 -5.024708
1280 -4.398502
1216 -3.772296
1049 -3.14609
753 -2.519884
589 -1.893678
465 -1.267472
433 -0.641266
439 -0.01506
431 0.611146
562 1.237352
815 1.863558
993 2.489764
1192 3.11597
1300 3.742176
1159 4.368382
1042 4.994588
754 5.620794
533 6.247
377 6.873206
219 7.499412
153 8.125618
81 8.751824
31 9.37803
16 10.004236
10 10.630442
7 11.256648
2 11.882854
